37520	35328	41879
30783	26743	44097
23761	26910	50064
21955	34593	50196
28008	36388	46877
31856	29928	47730
31247	28929	46634
26137	31100	45247
23463	32190	43381
25077	35364	41870
27351	36833	40395
29967	36031	40095
31009	36252	39609
27760	37194	38528
26923	38543	39432
30294	37702	42816
35854	30632	44831
39672	28975	36870
37719	37952	38639
34495	33423	46109
32207	24517	50175
27276	34461	48892
30258	38231	48173
40287	29768	47780
32156	30684	44011
23476	31453	43629
22283	30478	43449
23224	30697	40881
26454	33685	40310
30190	32035	40807
32606	30829	39661
30630	31570	38160
25949	29249	38020
29634	26931	41721
34184	35262	41088
40208	36532	33842
36919	23011	40390
36488	31382	48151
36030	34002	50203
25906	30882	50325
31234	33768	49354
38780	35501	47533
33207	32534	45390
25062	36254	43673
20456	37474	43139
21991	34643	41512
26753	33554	39635
29768	33881	38710
29726	32679	37579
29425	33120	36518
29431	36725	37198
31376	36640	41645
30959	30612	44098
35687	29491	35554
37454	37291	39299
37519	28764	51143
34949	24891	52612
28322	37268	49377
32391	39277	47595
37862	28115	46338
30726	27954	44038
24390	31290	43747
20880	30872	42352
24869	31148	39774
29384	35208	39689
32698	32545	39599
32875	32495	39077
28125	31461	39585
26513	29045	38952
30266	28280	39394
33548	33604	42218
36520	37551	38547
32829	29602	40674
30920	35189	51414
34667	40224	54242
29658	28873	53392
27886	25110	50702
34842	36952	49181
36270	42390	47443
27634	34379	46119
26876	34651	45821
25140	35255	45055
25042	35333	43209
28454	34510	42883
29648	33955	44502
30674	32939	44913
30147	31075	44452
30927	30702	44815
32831	30298	45352
30353	32866	45647
28398	34730	44870
28863	32690	44631
30279	30818	44271
31566	30769	44109
30853	31629	44051
29572	31574	44385
29632	31719	44271
30714	32420	43761
30642	32723	43416
30001	32324	43427
30094	31663	43464
30313	31452	43497
30351	31308	43679
30282	31069	43727
30040	30929	43742
30073	31068	43660
30202	31217	43494
30432	31243	43519
30412	31346	43589
30170	31311	43689
30082	31389	43743
30293	31569	43828
30271	31629	43819
30180	31882	43778
30075	31859	43815
30067	32000	43672
30266	32113	43564
30560	32069	43445
30482	32061	43283
30236	32126	43395
30524	32039	43577
30297	32017	43630
30195	32140	43708
30455	32373	43524
30304	32479	43454
30349	32473	43428
30418	32377	43443
30633	32449	43401
30642	32352	43510
30361	32186	43563
30397	32230	43555
30516	32445	43537
30612	32546	43478
30367	32396	43621
30043	32476	43500
30241	32451	43617
30365	32141	43676
30269	32357	43807
30126	32685	43793
29986	32569	43893
29939	32410	43611
30207	32191	43356
30830	32129	43482
30803	32160	43645
30099	32100	43719
30160	32007	43715
30600	32053	43733
30414	32016	43771
